Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
19609,428572,432995,1,10-Jan-09,740,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,17,M/cycle 50cc and under
19809,425642,434240,2,02-Jan-09,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,57,Car
20009,441206,448780,2,09-Jan-09,750,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Motorcycle over 500cc
20209,443242,439661,1,11-Jan-09,2332,A(M),Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
20509,431914,430363,1,11-Jan-09,210,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,46,Car
20509,431914,430363,1,11-Jan-09,210,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,44,Car
21809,429870,430441,3,06-Jan-09,2055,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,40,Car
22109,431509,432630,3,10-Jan-09,1525,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
22109,431509,432630,3,10-Jan-09,1525,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car
22109,431509,432630,3,10-Jan-09,1525,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car
22309,423629,437988,3,06-Jan-09,1109,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,M/cycle 50cc and under
22509,431463,432466,1,05-Jan-09,2330,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
22609,434345,434354,2,11-Jan-09,1335,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
22609,434345,434354,2,11-Jan-09,1335,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,13,Car
22709,432517,436673,2,08-Jan-09,830,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car
23009,438099,431586,1,12-Jan-09,735,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car
23309,432192,442256,2,13-Jan-09,650,A,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver,Slight,Female,25,Car
24409,433753,441992,2,11-Jan-09,1840,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car
24409,433753,441992,2,11-Jan-09,1840,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,18,Car
24709,428956,435470,2,13-Jan-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Pedal cycle
25009,432151,435283,1,12-Jan-09,1800,B,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car
25109,428470,435284,2,13-Jan-09,2130,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,Pedal cycle
26309,426322,428159,2,14-Jan-09,1830,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car
26909,438554,430035,2,12-Jan-09,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc
